,param,initial_risk,operator_intervention,cumlative_risk,travel_time,request_time
280,param_2_1,"risk:[0.0, 0.5]","int:[-1, -1]",0.0,-6,-1
281,param_2_2,"risk:[0.0, 0.5]","int:[-1, -1]",0.0,-5,1
282,param_2_3,"risk:[0.0, 0.5]","int:[-1, -1]",0.0,0,3
283,param_2_4,"risk:[0.0, 0.5]","int:[-1, -1]",0.0,0,3
284,param_2_6,"risk:[0.0, 0.5]","int:[-1, -1]",0.0,-6,1
285,param_2_7,"risk:[0.0, 0.5]","int:[-1, -1]",0.0,-7,2
286,param_2_8,"risk:[0.0, 0.5]","int:[-1, -1]",0.0,0,3
287,param_2_9,"risk:[0.0, 0.5]","int:[-1, -1]",0.0,-2,3
288,param_2_10,"risk:[0.0, 0.5]","int:[-1, -1]",0.0,-5,0
289,param_2_11,"risk:[0.0, 0.5]","int:[-1, -1]",0.0,2,2
290,param_2_12,"risk:[0.0, 0.5]","int:[-1, -1]",0.0,0,2
291,param_2_13,"risk:[0.0, 0.5]","int:[-1, -1]",0.0,1,-2
292,param_2_14,"risk:[0.0, 0.5]","int:[-1, -1]",0.0,0,-2
293,param_2_15,"risk:[0.0, 0.5]","int:[-1, -1]",0.0,0,-2
294,param_2_1,"risk:[0.0, 0.5]","int:[0, 0]",0.0,-5,-7
295,param_2_2,"risk:[0.0, 0.5]","int:[0, 0]",0.0,-4,-7
296,param_2_3,"risk:[0.0, 0.5]","int:[0, 0]",0.0,-4,-7
297,param_2_4,"risk:[0.0, 0.5]","int:[0, 0]",0.0,-4,-7
298,param_2_6,"risk:[0.0, 0.5]","int:[0, 0]",0.0,-2,-7
299,param_2_7,"risk:[0.0, 0.5]","int:[0, 0]",0.0,-2,-7
300,param_2_8,"risk:[0.0, 0.5]","int:[0, 0]",0.0,-2,-7
301,param_2_9,"risk:[0.0, 0.5]","int:[0, 0]",0.0,-6,-7
302,param_2_10,"risk:[0.0, 0.5]","int:[0, 0]",0.0,-6,-7
303,param_2_11,"risk:[0.0, 0.5]","int:[0, 0]",0.0,-6,-7
304,param_2_12,"risk:[0.0, 0.5]","int:[0, 0]",0.0,-6,-7
305,param_2_13,"risk:[0.0, 0.5]","int:[0, 0]",0.0,-7,-7
306,param_2_14,"risk:[0.0, 0.5]","int:[0, 0]",0.0,-7,-7
307,param_2_15,"risk:[0.0, 0.5]","int:[0, 0]",0.0,-7,-7
308,param_2_1,"risk:[0.25, 0.5]","int:[-1, -1]",0.5,-6,-1
309,param_2_2,"risk:[0.25, 0.5]","int:[-1, -1]",0.5,-5,1
310,param_2_3,"risk:[0.25, 0.5]","int:[-1, -1]",0.5,0,3
311,param_2_4,"risk:[0.25, 0.5]","int:[-1, -1]",0.0,0,3
312,param_2_6,"risk:[0.25, 0.5]","int:[-1, -1]",0.5,-6,1
313,param_2_7,"risk:[0.25, 0.5]","int:[-1, -1]",0.5,-7,2
314,param_2_8,"risk:[0.25, 0.5]","int:[-1, -1]",0.5,0,3
315,param_2_9,"risk:[0.25, 0.5]","int:[-1, -1]",0.0,-2,3
316,param_2_10,"risk:[0.25, 0.5]","int:[-1, -1]",0.5,-5,0
317,param_2_11,"risk:[0.25, 0.5]","int:[-1, -1]",0.5,2,2
318,param_2_12,"risk:[0.25, 0.5]","int:[-1, -1]",0.0,0,2
319,param_2_13,"risk:[0.25, 0.5]","int:[-1, -1]",0.5,1,-2
320,param_2_14,"risk:[0.25, 0.5]","int:[-1, -1]",0.0,0,-2
321,param_2_15,"risk:[0.25, 0.5]","int:[-1, -1]",0.0,0,-2
322,param_2_1,"risk:[0.25, 0.5]","int:[0, 0]",0.5,-5,-7
323,param_2_2,"risk:[0.25, 0.5]","int:[0, 0]",0.5,-4,-7
324,param_2_3,"risk:[0.25, 0.5]","int:[0, 0]",0.5,-4,-7
325,param_2_4,"risk:[0.25, 0.5]","int:[0, 0]",0.0,-4,-7
326,param_2_6,"risk:[0.25, 0.5]","int:[0, 0]",0.5,-2,-7
327,param_2_7,"risk:[0.25, 0.5]","int:[0, 0]",0.5,-2,-7
